customer,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
MC38650,Nevada,M,High School or Below,3963.394851,88701.0,99.0,0.0,Personal Auto,Two-Door Car,171.830049
No73819,California,F,Master,10896.04838,29365.0,137.0,0.0,Personal Auto,Sports Car,657.6
OW84864,California,F,College,6081.048248,0.0,82.0,0.0,Personal Auto,Four-Door Car,393.6
BV91898,Arizona,F,Bachelor,30141.61738,0.0,103.0,0.0,Personal Auto,SUV,1060.310769
WQ54314,Oregon,F,Bachelor,5737.233278,56455.0,73.0,2.0,Personal Auto,Four-Door Car,350.4
NM57315,California,M,Bachelor,16979.79757,35095.0,73.0,0.0,Special Auto,Two-Door Car,525.6
JB51220,Oregon,F,High School or Below,10915.35877,0.0,155.0,1.0,Corporate Auto,Sports Car,1116.0
EN77569,Oregon,F,College,3808.122147,94903.0,94.0,0.0,Special Auto,Two-Door Car,451.2
YP47665,Washington,M,Doctor,5408.911507,80192.0,67.0,0.0,Personal Auto,Four-Door Car,95.193157
QO54008,Oregon,M,Master,13419.39623,0.0,122.0,0.0,Personal Auto,SUV,827.786203
EQ59908,California,M,Master,3237.996209,60244.0,83.0,3.0,Corporate Auto,Four-Door Car,326.281835
YU72540,Arizona,F,College,10357.62776,52735.0,65.0,0.0,Personal Auto,Four-Door Car,123.512596
BZ50261,Arizona,F,High School or Below,11619.91802,78275.0,72.0,0.0,Personal Auto,Two-Door Car,25.336642
QE92747,Oregon,F,Bachelor,8209.054963,77282.0,102.0,0.0,Corporate Auto,Four-Door Car,489.6
KG83280,California,F,College,3096.511217,21604.0,79.0,0.0,Personal Auto,Four-Door Car,379.2
IL42365,Arizona,F,High School or Below,4804.35851,51962.0,125.0,4.0,Personal Auto,Sports Car,788.206874
FI86516,Oregon,F,Bachelor,4786.054889,0.0,68.0,0.0,Corporate Auto,Four-Door Car,489.6
FV14881,California,F,Doctor,15886.03136,56362.0,197.0,1.0,Personal Auto,Luxury SUV,945.6
RR54950,Arizona,M,College,5285.079293,85753.0,66.0,1.0,Special Auto,Four-Door Car,316.8
FC70869,Arizona,F,High School or Below,2945.370362,36167.0,76.0,3.0,Personal Auto,Two-Door Car,364.8
PB60303,Oregon,F,Master,18089.79629,68568.0,223.0,1.0,Personal Auto,Luxury Car,1070.4
HO50571,California,F,College,10208.92761,35482.0,129.0,0.0,Personal Auto,SUV,619.2
BH86846,Washington,M,High School or Below,20708.25881,92079.0,65.0,1.0,Corporate Auto,Four-Door Car,114.798771
PC42162,Oregon,M,Bachelor,5247.852585,0.0,77.0,0.0,Personal Auto,Two-Door Car,554.4
KD21661,California,M,College,5179.55248,0.0,165.0,2.0,Personal Auto,SUV,1188.0
FZ73016,California,F,Bachelor,4513.435299,34558.0,113.0,0.0,Personal Auto,SUV,376.529086
HJ19927,Nevada,M,Master,5297.625945,14775.0,69.0,0.0,Personal Auto,Four-Door Car,170.939409
RJ99408,California,M,High School or Below,5377.014781,35637.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
EL81968,Oregon,M,Bachelor,7661.388132,66726.0,97.0,1.0,Personal Auto,Two-Door Car,335.840529
WU86174,California,F,Bachelor,2677.279707,0.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
DN21342,Oregon,F,College,6877.817669,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
PB60406,California,F,Doctor,5714.232848,79719.0,71.0,0.0,Personal Auto,Four-Door Car,425.924132
IY37465,Arizona,M,Bachelor,4929.549699,25632.0,63.0,0.0,Corporate Auto,Two-Door Car,351.270869
LF55270,Oregon,F,College,10484.91535,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117
UV69038,California,M,College,9490.406534,0.0,137.0,0.0,Corporate Auto,SUV,657.6
IS63925,Arizona,F,College,7805.31287,21073.0,106.0,1.0,Personal Auto,SUV,508.8
CQ21583,Oregon,M,Doctor,21274.34205,17932.0,79.0,0.0,Personal Auto,Four-Door Car,379.2
PR21713,Nevada,M,High School or Below,5838.89915,81082.0,73.0,0.0,Personal Auto,Four-Door Car,281.295903
XE10977,Oregon,F,High School or Below,2677.495763,71684.0,66.0,0.0,Personal Auto,Two-Door Car,196.065149
JG87029,Oregon,M,High School or Below,2374.798861,57338.0,61.0,0.0,Personal Auto,Two-Door Car,292.8
BK21146,Arizona,M,College,22103.5072,0.0,102.0,0.0,Personal Auto,SUV,489.6
WE19034,Oregon,M,College,2427.770513,24409.0,62.0,0.0,Corporate Auto,Four-Door Car,297.6
DF62718,California,F,High School or Below,7294.40195,83488.0,90.0,0.0,Personal Auto,Four-Door Car,432.784577
MS59254,Washington,M,High School or Below,11360.46496,0.0,104.0,0.0,Corporate Auto,Two-Door Car,773.346065
WC65050,California,F,Master,2811.956395,62537.0,71.0,1.0,Personal Auto,Two-Door Car,354.199664
ST27958,Washington,M,College,4386.277558,10621.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
XZ81226,Arizona,F,Bachelor,6446.918637,43478.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
TU53781,Oregon,F,Bachelor,8427.172486,46503.0,215.0,1.0,Corporate Auto,Luxury SUV,1032.0
GC93551,Oregon,F,High School or Below,5290.127299,27179.0,66.0,0.0,Personal Auto,Four-Door Car,344.201601
MO33279,California,F,College,5592.455266,62229.0,70.0,0.0,Personal Auto,Two-Door Car,336.0
LD20926,Arizona,F,Bachelor,18892.19767,0.0,92.0,1.0,Personal Auto,Two-Door Car,441.6
PW90662,Oregon,M,College,13623.62257,67060.0,126.0,4.0,Personal Auto,SUV,339.000467
WS53288,Oregon,F,College,25464.82059,13663.0,97.0,0.0,Personal Auto,Four-Door Car,465.6
HE84643,California,F,High School or Below,2175.624856,0.0,63.0,0.0,Personal Auto,Four-Door Car,453.6
CL37990,Arizona,F,Bachelor,6699.222525,0.0,99.0,1.0,Corporate Auto,Four-Door Car,699.67536
HR87252,California,F,Bachelor,9043.678095,97745.0,113.0,0.0,Personal Auto,Sports Car,695.136477
SB27146,Oregon,F,High School or Below,4369.041685,26026.0,116.0,1.0,Personal Auto,Two-Door Car,283.670312
KI58952,California,F,College,51337.90677,72794.0,164.0,1.0,Personal Auto,SUV,50.454459
RM21896,Oregon,F,College,28699.89392,47730.0,91.0,0.0,Personal Auto,Four-Door Car,219.440024
JS38272,Arizona,M,College,4270.034394,0.0,122.0,0.0,Personal Auto,SUV,725.870693
NJ15094,Washington,F,Bachelor,5345.994644,0.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
MZ88454,Oregon,F,Bachelor,4774.747415,0.0,70.0,0.0,Personal Auto,Four-Door Car,336.0
PO27978,Oregon,F,Doctor,14727.50526,97785.0,73.0,0.0,Personal Auto,Two-Door Car,236.614219
VT28596,California,F,High School or Below,4755.47946,0.0,66.0,0.0,Personal Auto,Four-Door Car,712.309237
TI19722,Washington,M,Doctor,3436.134281,30817.0,88.0,0.0,Corporate Auto,Four-Door Car,91.834668
DO83038,California,F,College,8355.774443,64502.0,70.0,0.0,Personal Auto,Two-Door Car,39.336222
AG62087,California,M,Bachelor,3412.566597,30335.0,87.0,0.0,Corporate Auto,Four-Door Car,326.132867
BA56812,Oregon,M,Master,6185.337641,21020.0,80.0,0.0,Corporate Auto,Four-Door Car,178.371281
QF74147,California,F,College,8456.722498,84574.0,70.0,0.0,Special Auto,Four-Door Car,167.459769
RN88075,Washington,F,Bachelor,3021.938522,0.0,84.0,0.0,Personal Auto,Two-Door Car,700.725788
OG71924,Oregon,F,Master,6966.142868,0.0,93.0,0.0,Personal Auto,Four-Door Car,436.143226
YF87007,Oregon,F,High School or Below,10083.48688,11828.0,90.0,0.0,Corporate Auto,Four-Door Car,571.479602
ZL18631,Arizona,F,College,2539.990699,54889.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
BZ71120,Oregon,F,College,8456.455313,89918.0,105.0,0.0,Personal Auto,SUV,367.230882
UP60200,California,M,Bachelor,26576.31541,87002.0,110.0,0.0,Personal Auto,Two-Door Car,199.851173
XZ64172,Oregon,M,High School or Below,10963.95723,55687.0,276.0,0.0,Corporate Auto,Luxury SUV,1324.8
CA47176,Oregon,M,Bachelor,9671.98323,17103.0,87.0,0.0,Personal Auto,Two-Door Car,417.6
CI68869,Arizona,F,College,1898.683686,0.0,70.0,5.0,Personal Auto,Two-Door Car,702.020904
XT10744,Arizona,M,College,8595.146838,28441.0,73.0,0.0,Special Auto,Two-Door Car,686.020135
HT48275,Oregon,M,Bachelor,5532.753182,91212.0,69.0,0.0,Personal Auto,Two-Door Car,270.311239
HB48073,Arizona,F,Bachelor,9371.773682,66325.0,117.0,0.0,Corporate Auto,SUV,497.719213
MD43085,Oregon,F,Doctor,3975.321516,67895.0,101.0,4.0,Personal Auto,Four-Door Car,403.937672
NJ11986,Arizona,F,Master,4456.016549,29550.0,114.0,1.0,Corporate Auto,Two-Door Car,118.750512
HH55884,Arizona,M,College,3495.891476,10275.0,97.0,0.0,Personal Auto,Four-Door Car,465.6
JP69867,Nevada,M,College,8512.13221,61725.0,106.0,0.0,Personal Auto,Four-Door Car,508.8
FT86104,California,M,College,4650.063763,28215.0,65.0,0.0,Corporate Auto,Two-Door Car,468.0
GV39658,Arizona,F,College,13523.12989,10563.0,121.0,0.0,Corporate Auto,SUV,109.814874
GB66110,California,M,Bachelor,4422.409799,0.0,62.0,0.0,Personal Auto,Two-Door Car,722.432062
VD51297,California,M,College,7320.98824,99722.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
EP29567,Washington,M,Master,7031.463693,16224.0,93.0,0.0,Corporate Auto,Four-Door Car,498.452698
PE59368,Washington,F,Bachelor,5123.484988,72096.0,64.0,0.0,Personal Auto,Two-Door Car,252.330905
DQ50538,Nevada,M,Bachelor,9050.756606,63800.0,113.0,0.0,Personal Auto,SUV,542.4
WP58340,Arizona,M,High School or Below,10963.95723,55687.0,276.0,0.0,Personal Auto,Luxury SUV,1324.8
TM23788,California,M,High School or Below,6039.020697,0.0,89.0,1.0,Personal Auto,Four-Door Car,640.8
UF44021,California,M,Bachelor,2108.493744,0.0,61.0,0.0,Personal Auto,Two-Door Car,351.85681
WB96917,California,M,College,9875.092794,29598.0,87.0,0.0,Personal Auto,Two-Door Car,150.926696
MN95006,California,M,Bachelor,6928.601611,22907.0,180.0,2.0,Personal Auto,Luxury SUV,49.18776
NP60037,Oregon,M,Bachelor,14318.44839,22697.0,186.0,1.0,Corporate Auto,Luxury SUV,892.8
NQ71171,California,M,Bachelor,5107.071054,70174.0,64.0,0.0,Personal Auto,Four-Door Car,128.90032
SM58898,California,F,High School or Below,17223.89108,85378.0,107.0,0.0,Corporate Auto,SUV,513.6
FN98595,Nevada,F,High School or Below,7516.831717,31477.0,94.0,0.0,Special Auto,Four-Door Car,146.950756
TW94555,Nevada,M,College,5389.499465,66429.0,136.0,0.0,Personal Auto,Sports Car,57.712985
XW60886,California,M,High School or Below,6275.155361,0.0,90.0,0.0,Personal Auto,Four-Door Car,900.242038
IE84844,Nevada,F,High School or Below,4722.237214,0.0,65.0,0.0,Personal Auto,Four-Door Car,655.489027
HY76810,Oregon,F,Bachelor,6282.317743,0.0,172.0,0.0,Corporate Auto,SUV,141.460349
JL41129,California,M,Bachelor,7986.191274,74217.0,100.0,0.0,Personal Auto,SUV,418.005524
OQ41280,Nevada,M,High School or Below,6503.219978,46298.0,88.0,3.0,Corporate Auto,Four-Door Car,128.292466
AP65984,Oregon,F,College,4881.753428,0.0,135.0,0.0,Personal Auto,SUV,648.0
EE99484,Washington,F,High School or Below,2514.59196,43860.0,65.0,0.0,Corporate Auto,Four-Door Car,156.124914
XM39121,Arizona,F,College,7955.442668,0.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
DK49336,Arizona,M,College,4809.21696,48029.0,61.0,0.0,Corporate Auto,Four-Door Car,292.8
HB43486,Washington,F,College,9696.548818,86830.0,123.0,0.0,Personal Auto,SUV,480.533246
KB15252,Arizona,F,College,8709.321889,0.0,77.0,0.0,Personal Auto,Two-Door Car,509.100577
BN83547,Nevada,F,High School or Below,2858.452328,40706.0,71.0,0.0,Personal Auto,Four-Door Car,166.123172
MC55901,California,F,High School or Below,5233.949019,69231.0,65.0,0.0,Personal Auto,Four-Door Car,193.243084
PZ98142,Arizona,F,College,13494.76017,0.0,132.0,0.0,Personal Auto,SUV,950.4
GB43363,Oregon,M,College,6870.607058,0.0,105.0,0.0,Personal Auto,Four-Door Car,756.0
TH67541,Arizona,F,High School or Below,5652.72374,16171.0,74.0,0.0,Corporate Auto,Four-Door Car,311.004168
WC21901,Arizona,M,College,2345.262087,51397.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
CL38124,Oregon,F,Bachelor,19688.31898,83879.0,69.0,0.0,Personal Auto,Four-Door Car,212.148485
XH89851,California,F,College,7247.206475,63267.0,92.0,0.0,Personal Auto,Four-Door Car,530.340202
KA58700,Nevada,M,College,6085.304178,44712.0,82.0,2.0,Corporate Auto,Four-Door Car,537.78416
ZB40259,California,M,Doctor,5480.070226,59311.0,69.0,0.0,Corporate Auto,Four-Door Car,14.812808
JV63229,Arizona,M,Bachelor,6876.309925,81957.0,86.0,0.0,Personal Auto,Four-Door Car,433.426544
SI31035,Arizona,M,Doctor,5368.887709,59601.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
JW30054,Oregon,M,High School or Below,8283.066678,71034.0,103.0,0.0,Corporate Auto,Four-Door Car,494.4
AP56340,Washington,M,Bachelor,5384.671725,13103.0,72.0,0.0,Personal Auto,Four-Door Car,458.003651
FN44127,Oregon,M,College,3508.569533,20978.0,98.0,1.0,Personal Auto,Four-Door Car,1176.2788
QE79527,California,F,Bachelor,8427.172486,46503.0,215.0,1.0,Personal Auto,Luxury SUV,1032.0
UP36767,California,M,College,4553.809528,61064.0,113.0,0.0,Personal Auto,SUV,539.774172
PG43749,Oregon,F,College,4318.433036,17572.0,110.0,0.0,Personal Auto,Two-Door Car,639.769748
LL96228,Oregon,M,Master,14091.19449,99823.0,116.0,0.0,Corporate Auto,SUV,250.183388
OV40993,Nevada,F,College,8693.631249,17453.0,118.0,1.0,Personal Auto,SUV,566.4
MA80983,Oregon,M,College,6661.181553,55663.0,166.0,0.0,Personal Auto,SUV,194.739777
SA54664,Washington,M,Master,2654.380994,73196.0,66.0,1.0,Personal Auto,Four-Door Car,85.809817
TW12556,Oregon,F,High School or Below,4428.031583,58577.0,110.0,0.0,Personal Auto,SUV,303.872752
TC88451,Nevada,F,High School or Below,5738.277584,88055.0,71.0,0.0,Personal Auto,Four-Door Car,337.727542
BL93659,California,M,Bachelor,5815.049178,0.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
SI20178,California,M,High School or Below,4425.905071,80892.0,110.0,0.0,Personal Auto,SUV,528.0
KC50464,Arizona,F,Master,2574.020376,34990.0,65.0,0.0,Corporate Auto,Four-Door Car,42.689135
HG64216,California,M,College,2832.513487,37124.0,72.0,0.0,Personal Auto,Two-Door Car,430.518791
XM91056,California,F,High School or Below,4876.315707,22236.0,62.0,0.0,Personal Auto,Two-Door Car,409.425049
KN13494,Washington,F,Master,5181.620895,97131.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
OC47565,Oregon,F,College,5947.215835,67760.0,74.0,0.0,Special Auto,Four-Door Car,465.278453
HH14259,Arizona,F,Bachelor,2563.863345,0.0,69.0,0.0,Personal Auto,Four-Door Car,97.691104
QF66741,Nevada,M,College,15144.40954,0.0,62.0,1.0,Personal Auto,Two-Door Car,307.649586
LY46898,California,M,High School or Below,5558.304507,37473.0,70.0,0.0,Corporate Auto,Four-Door Car,336.0
MK73855,Washington,F,High School or Below,8109.364607,32314.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
HU82227,Arizona,M,College,15638.57599,49214.0,102.0,3.0,Corporate Auto,Four-Door Car,371.322406
FF75737,Oregon,F,High School or Below,8334.317162,49851.0,69.0,1.0,Personal Auto,Four-Door Car,331.2
KJ50265,Washington,M,High School or Below,10418.31143,27951.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
OQ82364,Nevada,F,Bachelor,6846.150323,0.0,95.0,0.0,Corporate Auto,Two-Door Car,456.0
SO47345,Arizona,F,Master,9403.875138,56410.0,117.0,0.0,Personal Auto,SUV,523.99823
JN51592,Arizona,F,Bachelor,16985.49688,22497.0,212.0,0.0,Special Auto,Luxury Car,1017.6
FH36069,Arizona,F,College,21101.21422,61347.0,106.0,0.0,Personal Auto,SUV,604.237801
ZW32080,Nevada,F,Bachelor,2914.955295,37803.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
ZH98656,Nevada,F,Master,8593.866533,91276.0,105.0,0.0,Personal Auto,SUV,504.0
GZ31904,Oregon,M,College,6861.745956,30816.0,87.0,0.0,Personal Auto,Two-Door Car,237.57033
PN47493,Oregon,F,College,2680.900678,41968.0,67.0,0.0,Corporate Auto,Four-Door Car,183.207703
CX18273,Arizona,M,Master,15797.98978,35754.0,199.0,0.0,Personal Auto,Luxury Car,612.973779
IG80173,California,F,Master,2863.312165,36706.0,71.0,0.0,Personal Auto,Four-Door Car,435.606086
JG76775,Washington,M,High School or Below,30061.69259,48258.0,249.0,0.0,Personal Auto,Luxury Car,1195.2
JR82641,Arizona,M,Master,10682.7619,52965.0,134.0,3.0,Personal Auto,SUV,83.815183
NW41789,Oregon,M,Bachelor,2746.90319,0.0,84.0,0.0,Personal Auto,Four-Door Car,604.8
VG74039,Oregon,F,Bachelor,2388.949198,0.0,65.0,0.0,Personal Auto,Four-Door Car,455.644704
DV27428,Oregon,M,High School or Below,13776.74135,62634.0,116.0,0.0,Personal Auto,SUV,122.017931
AN57220,Oregon,F,Bachelor,17263.64048,96917.0,61.0,0.0,Special Auto,Four-Door Car,71.942176
VD62056,Arizona,F,High School or Below,4669.22664,76157.0,116.0,0.0,Personal Auto,Two-Door Car,556.8
AH92481,California,F,College,4673.196379,53219.0,117.0,0.0,Corporate Auto,SUV,561.6
LX97765,Arizona,F,College,4347.591949,81412.0,109.0,0.0,Personal Auto,Two-Door Car,344.294164
JP82211,California,F,College,33873.18123,59744.0,105.0,0.0,Personal Auto,SUV,476.486416
SI88726,California,F,College,9100.787395,38898.0,117.0,0.0,Corporate Auto,SUV,561.6
MG46007,California,M,High School or Below,6358.251692,0.0,94.0,2.0,Personal Auto,Four-Door Car,17.938979
GL69461,Oregon,F,College,2628.468543,99961.0,66.0,2.0,Personal Auto,Four-Door Car,316.8
RA63927,Oregon,M,High School or Below,7193.101159,30886.0,91.0,0.0,Personal Auto,Two-Door Car,103.424766
UE76013,Washington,F,Master,5039.869278,35984.0,128.0,3.0,Personal Auto,SUV,275.577631
RI35792,Nevada,F,College,3962.825542,0.0,125.0,4.0,Personal Auto,SUV,539.5622
WL63802,California,M,High School or Below,6425.709981,0.0,181.0,0.0,Personal Auto,Luxury Car,1303.2
KZ29413,Oregon,M,Master,15672.69696,0.0,139.0,0.0,Personal Auto,SUV,667.2
SN23932,Arizona,M,Master,3237.996209,60244.0,83.0,3.0,Personal Auto,Four-Door Car,326.281835
YW26148,California,F,High School or Below,12992.27561,0.0,72.0,0.0,Personal Auto,Four-Door Car,518.4
LS51818,California,F,College,22217.96796,37553.0,187.0,0.0,Personal Auto,Luxury Car,897.6
ZG47195,Nevada,M,College,4931.258363,0.0,73.0,0.0,Personal Auto,Four-Door Car,525.6
No50634,Oregon,M,College,4330.38602,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
GC42314,Arizona,M,Doctor,8296.176276,0.0,111.0,0.0,Personal Auto,SUV,672.91665
SD77009,California,M,College,8334.359986,0.0,136.0,2.0,Personal Auto,SUV,979.2
OW85480,California,M,Master,5348.071007,25545.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
SW93780,Arizona,M,Master,2398.740007,24182.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
ZW51071,Oregon,F,High School or Below,6622.05254,80979.0,84.0,2.0,Personal Auto,Four-Door Car,25.961213
CK74127,Arizona,M,Bachelor,4155.946211,0.0,62.0,0.0,Corporate Auto,Four-Door Car,446.4
KM52241,Arizona,F,High School or Below,8430.059143,0.0,74.0,0.0,Personal Auto,Four-Door Car,47.502366
PE66545,Oregon,M,Bachelor,2545.518369,29250.0,64.0,0.0,Personal Auto,Two-Door Car,308.240792
GG70928,California,F,Master,5004.583872,33566.0,63.0,1.0,Personal Auto,Four-Door Car,205.043307
GI36262,Washington,F,College,2899.702858,65247.0,72.0,0.0,Corporate Auto,Four-Door Car,381.238176
MH85165,California,M,High School or Below,6767.806751,39650.0,86.0,0.0,Personal Auto,Four-Door Car,922.335972
AM26717,California,M,Bachelor,3123.080994,0.0,101.0,4.0,Personal Auto,SUV,960.115399
CV90092,Oregon,M,College,8184.691323,82680.0,68.0,0.0,Corporate Auto,Four-Door Car,326.4
CL70684,California,M,High School or Below,7636.279594,0.0,111.0,0.0,Corporate Auto,Two-Door Car,799.2
GK13851,Oregon,M,College,9227.567263,0.0,129.0,0.0,Personal Auto,SUV,619.2
TQ73726,Oregon,M,Bachelor,7587.337272,0.0,69.0,0.0,Personal Auto,Two-Door Car,460.741097
RW65977,Arizona,M,College,2191.133237,0.0,61.0,1.0,Special Auto,Four-Door Car,439.2
EY74093,Nevada,M,High School or Below,5004.135361,86834.0,64.0,0.0,Corporate Auto,Four-Door Car,0.099007
YG11074,Arizona,F,Bachelor,4794.931261,46143.0,122.0,0.0,Personal Auto,SUV,223.028356
HW65139,California,M,Doctor,26730.06042,21275.0,240.0,0.0,Personal Auto,Luxury SUV,1152.0
BT49333,Arizona,M,High School or Below,4260.765808,47746.0,106.0,0.0,Personal Auto,SUV,246.696768
KN78424,California,M,College,15477.27854,51675.0,196.0,0.0,Corporate Auto,Sports Car,940.8
TH68648,California,M,College,5126.836814,85522.0,64.0,0.0,Personal Auto,Four-Door Car,165.002742
GZ22403,Oregon,M,High School or Below,4068.092649,0.0,63.0,4.0,Personal Auto,Two-Door Car,753.22565
NU26460,Oregon,F,College,17712.20524,0.0,84.0,0.0,Corporate Auto,Four-Door Car,633.294203
PB21909,Oregon,M,Bachelor,9775.816061,55632.0,123.0,0.0,Personal Auto,SUV,478.609999
TA78865,Nevada,M,High School or Below,20534.39224,0.0,93.0,0.0,Special Auto,Four-Door Car,669.6
FP23103,Oregon,M,Bachelor,5800.188903,0.0,78.0,0.0,Special Auto,Two-Door Car,374.4
YK43172,Arizona,M,Bachelor,3319.620511,69152.0,89.0,4.0,Personal Auto,Four-Door Car,221.359492
YZ36062,Oregon,M,Bachelor,6529.431827,13476.0,67.0,2.0,Corporate Auto,Four-Door Car,433.588181
SJ29837,Washington,F,High School or Below,7602.663689,0.0,105.0,0.0,Personal Auto,SUV,914.538629
RC72799,Oregon,F,College,2839.808041,33252.0,71.0,0.0,Personal Auto,Four-Door Car,407.668083
AN67558,Nevada,M,College,3288.209809,0.0,102.0,1.0,Personal Auto,SUV,734.4
EQ62488,Oregon,F,College,15031.5645,59456.0,189.0,0.0,Personal Auto,Luxury Car,907.2
OA92714,California,F,Bachelor,5055.902381,88989.0,63.0,1.0,Personal Auto,Four-Door Car,232.745161
QS76805,Arizona,M,High School or Below,8012.917253,0.0,107.0,0.0,Corporate Auto,SUV,513.6
PQ46798,California,F,College,8300.70769,17034.0,113.0,0.0,Personal Auto,Sports Car,542.4
IA56290,Arizona,F,College,2516.103555,88435.0,62.0,0.0,Personal Auto,Four-Door Car,136.263492
XU35186,California,F,High School or Below,2749.407985,71445.0,70.0,2.0,Personal Auto,Four-Door Car,336.0
DR84620,California,M,Bachelor,8071.334962,72149.0,101.0,0.0,Personal Auto,SUV,69.310166
QG27547,Oregon,F,Bachelor,2867.312197,23376.0,78.0,0.0,Personal Auto,Four-Door Car,374.4
NM95102,Oregon,M,High School or Below,7285.030983,44788.0,61.0,0.0,Personal Auto,Four-Door Car,386.031248
KZ26788,Washington,F,Bachelor,4118.588554,69379.0,103.0,0.0,Personal Auto,Two-Door Car,494.4
GW25077,Oregon,F,Bachelor,5293.368089,38521.0,134.0,0.0,Personal Auto,SUV,557.184015
ZU91897,California,M,High School or Below,13265.96256,34482.0,67.0,0.0,Personal Auto,Four-Door Car,83.830109
ZK38095,California,F,Bachelor,2369.439009,0.0,68.0,0.0,Personal Auto,Four-Door Car,487.345606
TY84623,California,M,College,9816.528302,37256.0,62.0,0.0,Corporate Auto,Four-Door Car,128.969729
IP69763,Washington,F,College,21914.40548,77311.0,181.0,0.0,Personal Auto,SUV,113.609508
NF90665,Oregon,M,Bachelor,5143.88351,39268.0,66.0,1.0,Personal Auto,Four-Door Car,188.870427
KG53186,Nevada,M,College,3136.698216,59644.0,79.0,0.0,Corporate Auto,Four-Door Car,379.2
KV57104,Oregon,F,High School or Below,7713.819259,0.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
ZX93551,Arizona,F,Bachelor,2867.312197,23376.0,78.0,0.0,Personal Auto,Four-Door Car,374.4
TR18337,Nevada,F,College,11516.40557,50854.0,73.0,0.0,Personal Auto,Four-Door Car,101.489422
XV22744,Oregon,F,Bachelor,15025.19126,35158.0,76.0,0.0,Personal Auto,Four-Door Car,165.958605
KK27683,Nevada,F,High School or Below,4013.849907,15413.0,106.0,0.0,Personal Auto,SUV,508.8
HX11651,Oregon,M,College,3288.825448,17860.0,99.0,2.0,Personal Auto,Two-Door Car,656.122925
FD73388,Arizona,F,Master,13736.1325,16181.0,181.0,0.0,Personal Auto,SUV,1261.319869
KF70569,Nevada,M,High School or Below,3890.87081,91182.0,96.0,0.0,Personal Auto,Four-Door Car,249.140907
CC94413,Oregon,F,Bachelor,5701.277221,41154.0,72.0,1.0,Personal Auto,Four-Door Car,345.6
QO59138,Arizona,M,High School or Below,2590.214327,18746.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
JW58698,Oregon,F,College,3223.331519,70277.0,80.0,0.0,Personal Auto,Four-Door Car,84.818806
GT57081,Oregon,F,Bachelor,4912.025292,0.0,66.0,0.0,Personal Auto,Four-Door Car,668.158687
GU82475,California,M,College,6532.010543,24919.0,84.0,1.0,Personal Auto,Four-Door Car,420.420755
BG60187,Oregon,M,Bachelor,8012.124825,0.0,79.0,0.0,Personal Auto,Four-Door Car,335.234102
TN73558,Arizona,F,High School or Below,3731.504584,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
KK15032,Arizona,F,High School or Below,2702.380487,46370.0,68.0,1.0,Personal Auto,Two-Door Car,326.4
KA95160,Arizona,F,Master,23207.24981,89918.0,115.0,0.0,Personal Auto,SUV,423.116739
KD52867,Oregon,F,High School or Below,3347.028677,37138.0,85.0,0.0,Personal Auto,Two-Door Car,612.0
WY53775,Arizona,M,High School or Below,8382.630118,19683.0,117.0,1.0,Personal Auto,Sports Car,561.6
HS94778,Oregon,F,College,11793.12528,32214.0,100.0,0.0,Personal Auto,SUV,296.560998
EJ96266,California,F,College,2965.71995,26472.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
RK53289,California,F,Bachelor,5646.323845,39841.0,72.0,0.0,Personal Auto,Two-Door Car,440.128707
TX39594,Arizona,F,High School or Below,2452.491364,51085.0,62.0,1.0,Personal Auto,Two-Door Car,406.902001
JM93892,Arizona,M,College,5953.213546,61006.0,74.0,0.0,Corporate Auto,Four-Door Car,73.919629
PY51000,California,M,Bachelor,12883.81001,34148.0,109.0,0.0,Personal Auto,Four-Door Car,451.566751
HX74855,Washington,M,High School or Below,2471.528431,95697.0,61.0,0.0,Personal Auto,Two-Door Car,114.273025
VE64781,Arizona,F,Bachelor,2927.07045,75685.0,73.0,0.0,Personal Auto,Four-Door Car,369.918482
KY57676,California,M,High School or Below,8400.788878,20870.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
